stage,average_count,average_ground,error_mean,error_std,accuracy
0,235.799601488,174.8,64.3040387968,34.5566875388,0.632127924503
0,0,0,0,0,0
1,888.770791103,174.8,713.970791103,147.623546512,-3.08450109327
1,613.572874956,174.8,438.772874956,81.4921035658,-1.51014230524
2,668.988631117,174.8,494.188631117,108.41278139,-1.82716608191
2,480.365425904,174.8,305.565425904,66.934838217,-0.748085960551
3,442.055611249,174.8,267.255611249,70.7532261162,-0.528922261152
3,451.27773543,174.8,276.47773543,70.6223761004,-0.581680408637
4,454.168857666,174.8,279.368857666,79.6679161773,-0.598220009532
4,309.382428501,174.8,134.582428501,49.182500344,0.230077640155
5,422.217791994,174.8,247.417791994,75.7575396693,-0.415433592641
5,256.793410054,174.8,81.9934100535,38.867641624,0.530930148435
